train,val
0.1703524369613691,0.10649995895930463
0.1672909221855077,0.10468197502195835
0.16717693253647198,0.10172801547580296
0.16724843759753488,0.10936444950186544
0.16708790086291053,0.11180230924445722
0.16682704703320156,0.10191900834648146
0.1662127474622293,0.10613669795501564
0.16579299632039937,0.10779670718022519
0.16483120618625122,0.10549484239891171
0.16365596171129834,0.10625321175903082
0.1619980655122887,0.10855291694816616
0.1600223986002532,0.11558205590893825
0.15772883207635446,0.10954338751940264
