month,rmse,mae,bias,r
January,0.14043792942251476,0.11387272031831987,-0.06008621676432087,0.8334825035484943
February,0.19347269338923118,0.15912243508956955,-0.028531479646893714,0.6878452297957607
March,0.10558040714620799,0.08317783707584586,-0.011898533624547453,0.9356943879982209
