train,val
0.175623033695402,0.10346798228306903
0.16810081089292114,0.10361549665944444
0.16734989840891737,0.10225643931577603
0.16692622254147654,0.10159013736993075
0.16656104432771746,0.1029282600308458
0.16601984324039398,0.10089878853824404
0.16559003895500354,0.10220205403036542
0.16528076920652932,0.10231160989238156
0.16499739384578346,0.10121078102125061
0.1646943042271006,0.10234377742227581
0.16435995675647264,0.10342032069133388
0.16388137193094826,0.10378604229125711
0.1633099769918177,0.10618980276501841
0.1627600157320725,0.10537068351275392
0.16203427711241045,0.10658070339510838
0.16130835855374823,0.11002547902365525
